date,away_team,away_pitcher,away_score,home_score,home_win,home_team,home_pitcher,away_pitcher_games,home_pitcher_games,closing_total,away_ml_percent,home_ml_odds_percent
3/30/19,Houston Astros,C MCHUGH,1,3,W,Tampa Bay Rays,T GLASNOW,7,5,8,51.9,49.8
3/30/19,Chicago Cubs,Y DARVISH,6,8,W,Texas Rangers,E VOLQUEZ,30,1,9.5,60.7,41.0
3/30/19,Detroit Tigers,S TURNBULL,0,3,W,Toronto Blue Jays,AA SANCHEZ,29,12,8.5,46.1,55.6
3/30/19,New York Mets,N SYNDERGAARD,11,8,L,Washington Nationals,S STRASBURG,31,13,7.5,49.5,52.2
3/31/19,Pittsburgh Pirates,T WILLIAMS,5,0,L,Cincinnati Reds,S GRAY,25,15,8,44.3,57.4
3/31/19,Chicago White Sox,L GIOLITO,6,3,L,Kansas City Royals,J LOPEZ,28,6,8.5,45.6,56.1
3/31/19,Arizona Diamondbacks,L WEAVER,7,8,W,Los Angeles Dodgers,W BUEHLER,11,14,7.5,35.9,65.8
3/31/19,Colorado Rockies,J GRAY,0,3,W,Miami Marlins,S ALCANTARA,24,14,7.5,61.0,40.7
3/31/19,St Louis Cardinals,M WACHA,4,5,W,Milwaukee Brewers,C BURNES,23,2,8.5,51.2,50.5
3/31/19,Cleveland Indians,C CARRASCO,3,9,W,Minnesota Twins,M PINEDA,11,12,7,51.9,49.8
3/31/19,Baltimore Orioles,D BUNDY,7,5,L,New York Yankees,J HAPP,29,15,8.5,26.4,75.3
3/31/19,Los Angeles Angels,T SKAGGS,1,2,W,Oakland Athletics,F MONTAS,14,6,8.5,46.3,55.4
3/31/19,Atlanta Braves,K WRIGHT,1,5,W,Philadelphia Phillies,J ARRIETA,3,10,8,42.9,58.8
3/31/19,San Francisco Giants,J SAMARDZIJA,1,3,W,San Diego Padres,C PADDACK,31,10,7.5,36.9,64.8
3/31/19,Boston Red Sox,R PORCELLO,8,10,W,Seattle Mariners,W LEBLANC,30,3,8.5,56.9,44.8
3/31/19,Houston Astros,W MILEY,1,3,W,Tampa Bay Rays,Y CHIRINOS,31,9,8.5,51.9,49.8
3/31/19,Chicago Cubs,C HAMELS,10,11,W,Texas Rangers,L LYNN,26,15,8.5,56.2,45.5
3/31/19,Detroit Tigers,M MOORE,4,3,L,Toronto Blue Jays,T THORNTON,1,12,9.5,40.3,61.4
3/31/19,New York Mets,Z WHEELER,5,6,W,Washington Nationals,P CORBIN,30,15,7,38.7,63.0
4/1/19,Chicago Cubs,K HENDRICKS,0,8,W,Atlanta Braves,S NEWCOMB,29,3,8.5,49.5,52.2
4/1/19,Milwaukee Brewers,Z DAVIES,4,3,L,Cincinnati Reds,T ROARK,30,15,8.5,52.4,49.3
4/1/19,Chicago White Sox,I NOVA,3,5,W,Cleveland Indians,M CLEVINGER,31,9,7.5,40.9,60.8
4/1/19,San Francisco Giants,D POMERANZ,4,2,L,Los Angeles Dodgers,J URIAS,17,4,8,36.5,65.2
4/1/19,New York Mets,S MATZ,7,3,L,Miami Marlins,CA SMITH,28,12,7.5,55.4,46.3
4/1/19,Detroit Tigers,T ROSS,1,3,W,New York Yankees,D GERMAN,6,8,8.5,33.4,68.3
4/1/19,Boston Red Sox,D PRICE,0,7,W,Oakland Athletics,A BROOKS,21,8,9,56.2,45.5
4/1/19,St Louis Cardinals,A WAINWRIGHT,6,5,L,Pittsburgh Pirates,C ARCHER,30,11,7,47.4,54.3
4/1/19,Arizona Diamondbacks,M KELLY,10,3,L,San Diego Padres,M STRAHM,31,6,7.5,38.1,63.6
4/1/19,Los Angeles Angels,C STRATTON,3,6,W,Seattle Mariners,F HERNANDEZ,4,5,9.5,50.5,51.2
4/1/19,Colorado Rockies,C BETTIS,1,7,W,Tampa Bay Rays,R STANEK,2,12,8.5,43.2,58.5
4/1/19,Houston Astros,B PEACOCK,2,1,L,Texas Rangers,D SMYLY,14,11,9.5,62.2,39.5
4/1/19,Baltimore Orioles,D HESS,6,5,L,Toronto Blue Jays,S REID-FOLEY,13,3,9,38.5,63.2
4/2/19,Milwaukee Brewers,J CHACIN,4,3,L,Cincinnati Reds,A DESCLAFANI,22,13,9,51.9,49.8
4/2/19,Minnesota Twins,J BERRIOS,5,4,L,Kansas City Royals,B KELLER,31,9,7,59.0,42.7
4/2/19,San Francisco Giants,M BUMGARNER,5,6,W,Los Angeles Dodgers,H RYU,32,12,7,42.2,59.5
4/2/19,New York Mets,J VARGAS,6,5,L,Miami Marlins,J URENA,27,5,8,58.0,43.7
4/2/19,Detroit Tigers,J ZIMMERMANN,3,1,L,New York Yankees,M TANAKA,21,15,7.5,33.4,68.3
4/2/19,Boston Red Sox,C SALE,0,1,W,Oakland Athletics,M FIERS,23,14,8,61.7,40.0
4/2/19,Arizona Diamondbacks,Z GREINKE,8,5,L,San Diego Padres,E LAUER,32,12,7,46.7,55.0
4/2/19,Los Angeles Angels,T CAHILL,1,2,W,Seattle Mariners,M GONZALES,8,14,8,50.2,51.5
4/2/19,Colorado Rockies,K FREELAND,0,4,W,Tampa Bay Rays,B SNELL,20,9,7,38.5,63.2
4/2/19,Houston Astros,J VERLANDER,4,6,W,Texas Rangers,S MILLER,33,3,9,68.6,33.1
4/2/19,Baltimore Orioles,A CASHNER,2,1,L,Toronto Blue Jays,M STROMAN,21,16,8.5,39.0,62.7
4/2/19,Philadelphia Phillies,Z EFLIN,8,2,L,Washington Nationals,M SCHERZER,27,15,7,38.1,63.6
4/3/19,Chicago Cubs,J LESTER,4,6,W,Atlanta Braves,J TEHERAN,29,15,9,45.2,56.5
4/3/19,Milwaukee Brewers,F PERALTA,1,0,L,Cincinnati Reds,L CASTILLO,6,18,8,45.2,56.5
4/3/19,Chicago White Sox,C RODON,8,3,L,Cleveland Indians,C KLUBER,5,1,6.5,36.8,64.9
4/3/19,Minnesota Twins,K GIBSON,7,6,L,Kansas City Royals,H BAILEY,28,14,9,55.8,45.9
4/3/19,San Francisco Giants,D HOLLAND,3,5,W,Los Angeles Dodgers,R STRIPLING,5,4,7,36.8,64.9
4/3/19,New York Mets,J DEGROM,6,4,L,Miami Marlins,T RICHARDS,30,12,6.5,66.6,35.1
4/3/19,Detroit Tigers,M BOYD,2,1,L,New York Yankees,J LOAISIGA,29,1,9,38.5,63.2
4/3/19,Boston Red Sox,N EOVALDI,6,3,L,Oakland Athletics,M ESTRADA,10,1,8.5,57.3,44.4
4/3/19,St Louis Cardinals,M MIKOLAS,5,4,L,Pittsburgh Pirates,J TAILLON,30,1,7.5,50.2,51.5
4/3/19,Arizona Diamondbacks,R RAY,1,4,W,San Diego Padres,J LUCCHESI,31,14,7,43.5,58.2
4/3/19,Colorado Rockies,G MARQUEZ,1,0,L,Tampa Bay Rays,C MORTON,26,16,6.5,46.7,55.0
4/3/19,Houston Astros,G COLE,0,4,W,Texas Rangers,M MINOR,33,13,9,66.9,34.8
4/3/19,Baltimore Orioles,N KARNS,3,5,W,Toronto Blue Jays,M SHOEMAKER,0,0,8.5,42.4,59.3
4/3/19,Philadelphia Phillies,A NOLA,8,9,W,Washington Nationals,A SANCHEZ,32,15,8,55.6,46.1
4/4/19,Chicago Cubs,Y DARVISH,4,9,W,Atlanta Braves,M FRIED,29,13,9,47.8,53.9
4/4/19,New York Yankees,J PAXTON,8,4,L,Baltimore Orioles,A COBB,28,1,8,68.3,33.4
4/4/19,Toronto Blue Jays,AA SANCHEZ,1,4,W,Cleveland Indians,T BAUER,25,15,6.5,34.6,67.1
4/4/19,Kansas City Royals,J JUNIS,4,5,W,Detroit Tigers,S TURNBULL,29,15,7.5,50.7,51.0
4/4/19,Texas Rangers,E VOLQUEZ,11,4,L,Los Angeles Angels,M HARVEY,2,6,9,40.0,61.7
4/4/19,Washington Nationals,S STRASBURG,4,0,L,New York Mets,N SYNDERGAARD,32,17,6.5,45.4,56.3
4/4/19,Boston Red Sox,E RODRIGUEZ,3,7,W,Oakland Athletics,B ANDERSON,30,13,8,53.6,48.1
4/4/19,Cincinnati Reds,T MAHLE,0,2,W,Pittsburgh Pirates,J LYLES,24,13,8,51.9,49.8
4/5/19,Boston Red Sox,R PORCELLO,8,15,W,Arizona Diamondbacks,Z GODLEY,29,5,8.5,55.8,45.9
4/5/19,Miami Marlins,P LOPEZ,0,4,W,Atlanta Braves,K GAUSMAN,19,8,8,40.0,61.7
4/5/19,Seattle Mariners,Y KIKUCHI,8,10,W,Chicago White Sox,RE LOPEZ,29,15,8.5,55.0,46.7
4/5/19,Toronto Blue Jays,T THORNTON,2,3,W,Cleveland Indians,S BIEBER,27,17,7.5,43.7,58.0
4/5/19,Los Angeles Dodgers,K MAEDA,10,6,L,Colorado Rockies,T ANDERSON,24,4,11,56.0,45.7
4/5/19,Oakland Athletics,F MONTAS,2,3,W,Houston Astros,C MCHUGH,14,3,8.5,40.0,61.7
4/5/19,Texas Rangers,L LYNN,1,3,W,Los Angeles Angels,F PENA,31,4,8,48.6,53.1
4/5/19,Chicago Cubs,J QUINTANA,10,13,W,Milwaukee Brewers,B WOODRUFF,30,11,8.5,45.9,55.8
4/5/19,Minnesota Twins,J ODORIZZI,4,10,W,Philadelphia Phillies,N PIVETTA,29,7,8,40.5,61.2
4/5/19,Cincinnati Reds,S GRAY,0,2,W,Pittsburgh Pirates,J MUSGROVE,29,15,7.5,44.4,57.3
4/5/19,Tampa Bay Rays,T GLASNOW,5,2,L,San Francisco Giants,D RODRIGUEZ,11,5,7,52.9,48.8
4/5/19,San Diego Padres,N MARGEVICIUS,5,3,L,St Louis Cardinals,J FLAHERTY,10,15,7.5,36.8,64.9
4/6/19,Boston Red Sox,D PRICE,4,5,W,Arizona Diamondbacks,L WEAVER,20,4,9,56.5,45.2
4/6/19,Miami Marlins,S ALCANTARA,4,2,L,Atlanta Braves,K WRIGHT,28,2,8.5,38.6,63.1
4/6/19,New York Yankees,J HAPP,6,4,L,Baltimore Orioles,D BUNDY,28,16,8.5,63.8,37.9
4/6/19,Seattle Mariners,M LEAKE,9,2,L,Chicago White Sox,L GIOLITO,28,14,9,51.0,50.7
4/6/19,Toronto Blue Jays,T PANNONE,2,7,W,Cleveland Indians,C CARRASCO,6,5,8,35.3,66.4
4/6/19,Los Angeles Dodgers,W BUEHLER,7,2,L,Colorado Rockies,J GRAY,29,11,10,54.8,46.9
4/6/19,Kansas City Royals,J LOPEZ,4,7,W,Detroit Tigers,M MOORE,16,0,9,46.9,54.8
4/6/19,Oakland Athletics,A BROOKS,0,6,W,Houston Astros,W MILEY,16,14,9.5,44.4,57.3
4/6/19,Texas Rangers,D SMYLY,1,5,W,Los Angeles Angels,T SKAGGS,19,5,8.5,40.5,61.2
4/6/19,Chicago Cubs,C HAMELS,14,8,L,Milwaukee Brewers,C BURNES,25,1,8.5,44.8,56.9
4/6/19,Washington Nationals,P CORBIN,5,6,W,New York Mets,S MATZ,32,14,7,56.2,45.5
4/6/19,Minnesota Twins,M PINEDA,6,2,L,Philadelphia Phillies,J ARRIETA,24,9,8.5,41.7,60.0
4/6/19,Cincinnati Reds,T ROARK,5,6,W,Pittsburgh Pirates,T WILLIAMS,28,11,8,49.1,52.6
4/6/19,Tampa Bay Rays,R STANEK,4,6,W,San Francisco Giants,J SAMARDZIJA,25,15,7.5,56.7,45.0
4/6/19,San Diego Padres,C PADDACK,6,4,L,St Louis Cardinals,M WACHA,24,9,7.5,48.4,53.3
4/7/19,Boston Red Sox,H VELAZQUEZ,1,0,L,Arizona Diamondbacks,M KELLY,7,15,9.5,52.2,49.5
4/7/19,Miami Marlins,CA SMITH,3,4,W,Atlanta Braves,S NEWCOMB,26,2,8,40.5,61.2
4/7/19,New York Yankees,D GERMAN,15,3,L,Baltimore Orioles,D HESS,21,5,9,63.4,38.3
4/7/19,Seattle Mariners,W LEBLANC,12,5,L,Chicago White Sox,I NOVA,6,12,9.5,48.2,53.5
4/7/19,Toronto Blue Jays,M STROMAN,1,3,W,Cleveland Indians,M CLEVINGER,29,8,7.5,39.2,62.5
4/7/19,Los Angeles Dodgers,J URIAS,12,6,L,Colorado Rockies,C BETTIS,6,0,11.5,62.3,39.4
4/7/19,Kansas City Royals,B KELLER,1,3,W,Detroit Tigers,T ROSS,25,2,9,52.2,49.5
4/7/19,Oakland Athletics,M FIERS,8,9,W,Houston Astros,B PEACOCK,28,8,8.5,37.3,64.4
4/7/19,Texas Rangers,S MILLER,2,7,W,Los Angeles Angels,C STRATTON,6,2,9.5,47.6,54.1
4/7/19,Chicago Cubs,K HENDRICKS,2,4,W,Milwaukee Brewers,Z DAVIES,28,14,9,51.0,50.7
4/7/19,Washington Nationals,M SCHERZER,12,9,L,New York Mets,Z WHEELER,26,14,6.5,55.8,45.9
4/7/19,Minnesota Twins,J BERRIOS,1,2,W,Philadelphia Phillies,Z EFLIN,30,12,8.5,44.8,56.9
4/7/19,Cincinnati Reds,A DESCLAFANI,5,7,W,Pittsburgh Pirates,C ARCHER,27,10,7.5,41.2,60.5
4/7/19,Tampa Bay Rays,Y CHIRINOS,3,0,L,San Francisco Giants,D POMERANZ,16,8,7,54.1,47.6
4/7/19,San Diego Padres,M STRAHM,1,4,W,St Louis Cardinals,A WAINWRIGHT,14,16,9,48.4,53.3
4/8/19,Oakland Athletics,M ESTRADA,4,12,W,Baltimore Orioles,A CASHNER,1,10,10,61.2,40.5
4/8/19,Pittsburgh Pirates,J TAILLON,0,10,W,Chicago Cubs,J LESTER,3,15,8.5,45.0,56.7
4/8/19,Tampa Bay Rays,B SNELL,5,1,L,Chicago White Sox,C RODON,21,2,7.5,62.6,39.1
4/8/19,Atlanta Braves,J TEHERAN,8,6,L,Colorado Rockies,K FREELAND,30,9,10.5,48.6,53.1
4/8/19,New York Yankees,M TANAKA,3,4,W,Houston Astros,J VERLANDER,28,17,8,41.7,60.0
4/8/19,Seattle Mariners,F HERNANDEZ,13,5,L,Kansas City Royals,H BAILEY,13,13,10,51.9,49.8
4/8/19,Milwaukee Brewers,J CHACIN,2,5,W,Los Angeles Angels,T CAHILL,21,3,9,51.0,50.7
4/8/19,Washington Nationals,A SANCHEZ,3,4,W,Philadelphia Phillies,V VELASQUEZ,29,7,10,42.9,58.8
4/8/19,San Diego Padres,E LAUER,6,5,L,San Francisco Giants,M BUMGARNER,26,18,7,44.4,57.3
4/8/19,Los Angeles Dodgers,H RYU,3,4,W,St Louis Cardinals,M MIKOLAS,27,14,8,50.2,51.5
4/9/19,Texas Rangers,M MINOR,4,5,W,Arizona Diamondbacks,Z GREINKE,29,14,8.5,43.9,57.8
4/9/19,Oakland Athletics,B ANDERSON,13,2,L,Baltimore Orioles,J MEANS,28,15,9.5,64.0,37.7
4/9/19,Toronto Blue Jays,M SHOEMAKER,7,5,L,Boston Red Sox,C SALE,2,11,8,30.3,71.4
4/9/19,Tampa Bay Rays,C MORTON,10,5,L,Chicago White Sox,E SANTANA,32,1,8.5,62.0,39.7
4/9/19,Miami Marlins,J URENA,0,14,W,Cincinnati Reds,L CASTILLO,10,17,8.5,36.4,65.3
4/9/19,Atlanta Braves,M FRIED,7,1,L,Colorado Rockies,G MARQUEZ,27,12,10.5,50.7,51.0
4/9/19,Cleveland Indians,C KLUBER,8,2,L,Detroit Tigers,J ZIMMERMANN,4,11,8.5,56.5,45.2
4/9/19,New York Yankees,J LOAISIGA,3,6,W,Houston Astros,G COLE,2,18,8,36.2,65.5
4/9/19,Seattle Mariners,M GONZALES,6,3,L,Kansas City Royals,J JUNIS,30,15,9,48.9,52.8
4/9/19,Milwaukee Brewers,F PERALTA,8,11,W,Los Angeles Angels,M HARVEY,5,5,9,58.2,43.5
4/9/19,Minnesota Twins,K GIBSON,14,8,L,New York Mets,J DEGROM,27,16,6.5,30.2,71.5
4/9/19,Washington Nationals,S STRASBURG,10,6,L,Philadelphia Phillies,A NOLA,31,17,8,43.0,58.7
4/9/19,San Diego Padres,J LUCCHESI,2,7,W,San Francisco Giants,D HOLLAND,27,2,7.5,56.0,45.7
4/9/19,Los Angeles Dodgers,R STRIPLING,0,4,W,St Louis Cardinals,DAK HUDSON,12,17,8.5,52.4,49.3
4/10/19,Texas Rangers,L LYNN,5,2,L,Arizona Diamondbacks,R RAY,30,12,8,45.0,56.7
4/10/19,Oakland Athletics,F MONTAS,10,3,L,Baltimore Orioles,D STRAILY,13,4,9.5,64.1,37.6
4/10/19,Pittsburgh Pirates,J LYLES,5,2,L,Chicago Cubs,Y DARVISH,26,14,7.5,39.0,62.7
4/10/19,Tampa Bay Rays,T GLASNOW,9,1,L,Chicago White Sox,RE LOPEZ,10,14,8.5,62.3,39.4
4/10/19,Miami Marlins,T RICHARDS,1,2,W,Cincinnati Reds,T MAHLE,20,9,9,41.7,60.0
4/10/19,Cleveland Indians,T BAUER,1,4,W,Detroit Tigers,M BOYD,31,14,7,57.6,44.1
4/10/19,New York Yankees,J PAXTON,6,8,W,Houston Astros,C MCHUGH,27,2,8.5,48.4,53.3
4/10/19,Seattle Mariners,Y KIKUCHI,6,5,L,Kansas City Royals,H FILLMYER,28,0,10,60.5,41.2
4/10/19,Milwaukee Brewers,B WOODRUFF,2,4,W,Los Angeles Angels,F PENA,20,3,8,62.5,39.2
4/10/19,Minnesota Twins,J ODORIZZI,6,9,W,New York Mets,N SYNDERGAARD,28,16,7,36.9,64.8
4/10/19,Washington Nationals,J HELLICKSON,15,1,L,Philadelphia Phillies,N PIVETTA,7,6,9,40.5,61.2
4/10/19,San Diego Padres,N MARGEVICIUS,3,1,L,San Francisco Giants,D RODRIGUEZ,9,4,8,50.5,51.2
4/10/19,Los Angeles Dodgers,K MAEDA,2,7,W,St Louis Cardinals,J FLAHERTY,23,14,8,50.2,51.5
4/11/19,San Diego Padres,P AVILA,7,6,L,Arizona Diamondbacks,Z GODLEY,0,4,9,47.8,53.9
4/11/19,New York Mets,S MATZ,6,3,L,Atlanta Braves,K GAUSMAN,26,7,9,45.4,56.3
4/11/19,Oakland Athletics,A BROOKS,8,5,L,Baltimore Orioles,D BUNDY,15,15,8.5,59.5,42.2
4/11/19,Toronto Blue Jays,AA SANCHEZ,6,7,W,Boston Red Sox,N EOVALDI,24,4,9,37.9,63.8
4/11/19,Pittsburgh Pirates,J MUSGROVE,0,2,W,Chicago Cubs,J QUINTANA,29,15,9,46.9,54.8
4/11/19,Miami Marlins,P LOPEZ,0,5,W,Cincinnati Reds,S GRAY,18,14,8.5,40.8,60.9
4/11/19,Cleveland Indians,S BIEBER,4,0,L,Detroit Tigers,S TURNBULL,31,14,7,56.9,44.8
4/11/19,Seattle Mariners,M LEAKE,7,6,L,Kansas City Royals,J LOPEZ,27,5,9.5,59.0,42.7
4/11/19,Colorado Rockies,J GRAY,0,1,W,San Francisco Giants,J SAMARDZIJA,22,14,7.5,51.5,50.2
4/11/19,Los Angeles Dodgers,W BUEHLER,7,11,W,St Louis Cardinals,M WACHA,28,8,8.5,57.1,44.6
4/12/19,San Diego Padres,C PADDACK,2,1,L,Arizona Diamondbacks,L WEAVER,23,3,8,54.3,47.4
4/12/19,New York Mets,Z WHEELER,6,2,L,Atlanta Braves,K WRIGHT,28,1,10,50.5,51.2
4/12/19,Baltimore Orioles,D HESS,4,6,W,Boston Red Sox,E RODRIGUEZ,11,14,10.5,30.4,71.3
4/12/19,Los Angeles Angels,T SKAGGS,1,5,W,Chicago Cubs,C HAMELS,12,12,11,39.2,62.5
4/12/19,Cleveland Indians,C CARRASCO,1,8,W,Kansas City Royals,B KELLER,9,8,7.5,60.4,41.3
4/12/19,Milwaukee Brewers,C BURNES,8,5,L,Los Angeles Dodgers,J URIAS,1,3,8,40.2,61.5
4/12/19,Philadelphia Phillies,J ARRIETA,9,1,L,Miami Marlins,S ALCANTARA,21,13,8.5,60.4,41.3
4/12/19,Chicago White Sox,L GIOLITO,9,6,L,New York Yankees,J HAPP,26,14,9.5,35.9,65.8
4/12/19,Colorado Rockies,C BETTIS,2,3,W,San Francisco Giants,D POMERANZ,0,7,7.5,43.7,58.0
4/12/19,Houston Astros,W MILEY,10,6,L,Seattle Mariners,W LEBLANC,29,2,9,57.5,44.2
4/12/19,Oakland Athletics,M FIERS,8,6,L,Texas Rangers,D SMYLY,27,10,11,52.2,49.5
4/12/19,Tampa Bay Rays,R STANEK,11,7,L,Toronto Blue Jays,T THORNTON,24,11,8,59.0,42.7
4/12/19,Pittsburgh Pirates,T WILLIAMS,6,3,L,Washington Nationals,P CORBIN,23,14,8,35.6,66.1
4/13/19,San Diego Padres,M STRAHM,5,4,L,Arizona Diamondbacks,M KELLY,13,14,9,50.2,51.5
4/13/19,New York Mets,J VARGAS,7,11,W,Atlanta Braves,S NEWCOMB,26,1,10,42.2,59.5
4/13/19,Baltimore Orioles,A CASHNER,9,5,L,Boston Red Sox,R PORCELLO,19,17,11,28.3,73.4
4/13/19,Los Angeles Angels,C STRATTON,6,5,L,Chicago Cubs,K HENDRICKS,2,13,9.5,34.9,66.8
4/13/19,Cleveland Indians,J RODRIGUEZ,0,3,W,Kansas City Royals,H BAILEY,8,12,9,50.2,51.5
4/13/19,Milwaukee Brewers,Z DAVIES,4,1,L,Los Angeles Dodgers,C FERGUSON,28,1,9.5,41.5,60.2
4/13/19,Philadelphia Phillies,Z EFLIN,3,10,W,Miami Marlins,CA SMITH,25,11,7.5,59.1,42.6
4/13/19,Detroit Tigers,T ROSS,3,4,W,Minnesota Twins,M PINEDA,4,11,8,35.1,66.6
4/13/19,Chicago White Sox,I NOVA,0,4,W,New York Yankees,C SABATHIA,29,10,10.5,40.2,61.5
4/13/19,Colorado Rockies,K FREELAND,2,5,W,San Francisco Giants,M BUMGARNER,18,17,7,49.1,52.6
4/13/19,Houston Astros,J VERLANDER,3,1,L,Seattle Mariners,F HERNANDEZ,31,4,8.5,65.3,36.4
4/13/19,Tampa Bay Rays,B SNELL,1,3,W,Toronto Blue Jays,C BUCHHOLZ,20,5,8,66.5,35.2
4/13/19,Pittsburgh Pirates,C ARCHER,2,3,W,Washington Nationals,A SANCHEZ,20,14,9,47.6,54.1
4/14/19,San Diego Padres,E LAUER,4,8,W,Arizona Diamondbacks,Z GREINKE,25,13,8,43.7,58.0
4/14/19,New York Mets,J DEGROM,3,7,W,Atlanta Braves,J TEHERAN,28,14,8,60.5,41.2
4/14/19,Baltimore Orioles,J MEANS,0,4,W,Boston Red Sox,D PRICE,25,7,9.5,31.0,70.7
4/14/19,Cleveland Indians,C KLUBER,8,9,W,Kansas City Royals,J JUNIS,3,14,7,56.7,45.0
4/14/19,Milwaukee Brewers,J CHACIN,1,7,W,Los Angeles Dodgers,R STRIPLING,20,3,9,44.3,57.4
4/14/19,Philadelphia Phillies,V VELASQUEZ,3,1,L,Miami Marlins,J URENA,21,4,8.5,58.8,42.9
4/14/19,Detroit Tigers,J ZIMMERMANN,4,6,W,Minnesota Twins,J BERRIOS,19,13,7.5,31.7,70.0
4/14/19,Chicago White Sox,C RODON,5,2,L,New York Yankees,M TANAKA,3,14,9,36.1,65.6
4/14/19,Colorado Rockies,G MARQUEZ,4,0,L,San Francisco Giants,D HOLLAND,24,1,7,51.5,50.2
4/14/19,Houston Astros,G COLE,3,2,L,Seattle Mariners,M GONZALES,31,13,7.5,65.3,36.4
4/14/19,Oakland Athletics,B ANDERSON,7,8,W,Texas Rangers,A SAMPSON,27,7,10,58.0,43.7
4/14/19,Tampa Bay Rays,C MORTON,8,4,L,Toronto Blue Jays,M STROMAN,31,15,8,55.4,46.3
4/14/19,Pittsburgh Pirates,J TAILLON,4,3,L,Washington Nationals,M SCHERZER,2,14,7.5,37.9,63.8
4/15/19,Baltimore Orioles,D STRAILY,8,1,L,Boston Red Sox,H VELAZQUEZ,6,4,11,30.0,71.7
